timestamp,message_type,user_id,nickname,content,user_level,giver_id,giver_nickname,gift_name,combo_count,receiver_id,receiver_nickname,like_count,like_total,member_count,follow_count,display_short,display_middle,display_long,room_total
2025-09-16T21:28:32.592679,gift,,,,,MS4wLjABAAAAGekoY6qLx0qsTGtdbDtGFQckYTzE_F2VbqXZO5zN9DyjBT9te4AmGc22JhU_fXiA,豆抖豆👿,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:32.592742,enter,MS4wLjABAAAAynvievlno-CfeW4AQ5_E0CvI39kEsz6-wTwl-TZdCAA,天龙,,,,,,,,,,,378241,,,,,
2025-09-16T21:28:32.592789,enter,MS4wLjABAAAAa4n7qTsy43hVLsGSiAOVpnQU00k_8iBY00nrE7t_-l4,自由人（不自由）,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:32.592843,gift,,,,,MS4wLjABAAAANCRMqmmL0_BR2Eoq92vUdifB_OJtOZ2IGHTSbrtbRjJaTmloxYmFvHnhk-Zo451s,@林时工,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:32.592912,gift,,,,,MS4wLjABAAAAvMOJAVle5-zRpW0kJwJpfuH6CQw0nvwaRGt-E7rvpb4,柚柚平安⁴¹⁶,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:32.592966,gift,,,,,MS4wLjABAAAAN2lAto0BU3--TlqawAJGYfqCwnwp8RqL2nhSl7Cqr_ZB-BDY0MtS-4-o5jAql4WN,那个男人👦,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:32.593018,gift,,,,,MS4wLjABAAAA-GdyEQ785reh3bz7h9pHG6rjc3yFF-6W-ADE054T0Wo,看世界鱼🐟鱼🐟🐟,小心心,5,,,,,,,,,,
2025-09-16T21:28:32.593070,gift,,,,,MS4wLjABAAAAS4bINDPDFTIlsT3yieygqsILmwOZ-qoK0asdGIjwanE,ℒℴѵℯ·不忘💞初心·ꦿ໊ོ,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:32.593120,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,505,,,,,,,,,,
2025-09-16T21:28:32.593161,enter,MS4wLjABAAAAlSQZjnuvegkMZQulPpOM83sjhQNi-gI79rgamm4t4tA,祥AxiangGe,,,,,,,,,,,377035,,,,,
2025-09-16T21:28:32.595001,message,MS4wLjABAAAARrhFnzKRX1_O7RpYM7pfk-Jhb4yoZgRQpZh9g_TbZrAbjEOaaJbseRRjqN19HVnl,深夜的酒1909,感觉要团灭了,,,,,,,,,,,,,,,
2025-09-16T21:28:32.595044,message,MS4wLjABAAAAeYmb9OHwLSD7EqVyNHIorOf5rH2fujqu6gxFUFHkSFGMIhAYAHUbFcqKKNMkilGb,౪ᩚᐝʚ依然ɞ࿐,[比心][比心][比心],,,,,,,,,,,,,,,
2025-09-16T21:28:32.595175,message,MS4wLjABAAAAkHu4tJl1mO9At0sOfNnUUOI2Fj2C1ApexnH9Qil7_KTqQ2bqvldfeyiu7PIFHfIU,风趣，浪漫的米沙爷爷,都🤷够月赛,,,,,,,,,,,,,,,
2025-09-16T21:28:32.595229,gift,,,,,MS4wLjABAAAA9YCB4IOQ1lEeL366mIx5dwbydH6NSJjwDJvg37CBavk,泡泡(๑•̀ㅂ•́)و✧,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.371461,follow,MS4wLjABAAAAiFPI04n2DqdG3pBL1ZUCpki6B_kTi5e2nfrqBOjiHmU,消消乐,,,,,,,,,,,,33163434,,,,
2025-09-16T21:28:33.371524,like,MS4wLjABAAAA-pslWCLNAS4dXvLMTdMOq9XPXqOL_H1nYiDm2AErGug,阿坤科技,,,,,,,,,18,10453490,,,,,,
